text,labels,use_case
Create a reporting system for user engagement,"S3,Lambda,IAM,EC2",analytics_platform
Create a live updates system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Process CSV files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Build a serverless application for CRM,"Lambda,DynamoDB,IAM,S3,ECS",serverless
Develop a small API gateway for inventory management,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Process Excel files uploaded by users,"S3,Lambda,IAM,SQS,EC2",file_processing
Build a small web application with OAuth and image storage,"EC2,VPC,S3,RDS,CloudFront,Cognito",web_application
Build an analytics dashboard for IoT sensors,"S3,Lambda,RDS,IAM,VPC",analytics_platform
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Build a real-time e-commerce application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create a login system for students,"Cognito,Lambda,IAM,VPC",authentication_system
Deploy containerized microservices architecture,"ECS,VPC,IAM,DynamoDB",web_application
Build a backend for a mobile app that needs file sharing,"API_Gateway,Lambda,DynamoDB,SNS,IAM",mobile_backend
Create a live notifications system,"API_Gateway,DynamoDB,IAM,CloudFront",real_time_app
Provision block storage for virtual machines,"EC2,EBS,VPC,IAM",web_application
Deploy a landing page with payment processing,"S3,CloudFront,IAM",static_website
Create a reporting system for revenue,"S3,Lambda,RDS,IAM,DynamoDB",analytics_platform
Process Excel files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS",file_processing
Build a serverless application for e-commerce,"Lambda,API_Gateway,DynamoDB,IAM,S3,SNS",serverless
Build a small web application with social login and media storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a data pipeline to process images and store in file uploads,"S3,IAM,SQS",data_processing
Develop a serverless API for analytics,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a real-time messaging application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create a RESTful API that handles updates and stores data in user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,ECS",api_service
Build a real-time e-commerce application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Deploy a landing page with file sharing,"S3,CloudFront,IAM,VPC",static_website
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a reporting system for revenue,"S3,Lambda,RDS,IAM",analytics_platform
Build a GraphQL API for social media with user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Host a simple static website for e-commerce,"S3,CloudFront,IAM",static_website
Create a RESTful API that handles notifications and stores data in transaction history,"API_Gateway,Lambda,IAM,CloudFront,SNS",api_service
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM",analytics_platform
Develop a mobile backend for fitness tracking with product catalog,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a microservices API for booking system with analytics data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build a data pipeline to process logs and store in file uploads,"Lambda,S3,IAM,SQS",data_processing
Create an event-driven system that handles webhooks,"Lambda,DynamoDB,IAM,S3",serverless
Build a medium web application with social login and file uploads,"EC2,VPC,IAM,S3,RDS,CloudFront,DynamoDB",web_application
Build a real-time messaging application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Develop a web platform for e-commerce with real-time updates,"EC2,VPC,IAM,S3,CloudFront",web_application
Create a reporting system for system performance,"S3,Lambda,RDS,IAM,API_Gateway",analytics_platform
Host Docker containers for data processing jobs,"ECS,VPC,IAM,S3",data_processing
Build a backend for a mobile app that needs real-time updates,"API_Gateway,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a RESTful API that handles messaging and stores data in user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Create a live messaging system,"API_Gateway,Lambda,IAM",real_time_app
Build a data pipeline to process images and store in image storage,"Lambda,IAM,SQS",data_processing
Create an event-driven system that generates reports,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a streaming data platform for IoT devices,"Lambda,IAM,SQS",data_processing
Build a serverless application for inventory management,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a file conversion service for PDF to text,"S3,Lambda,IAM,SQS",file_processing
Create a login system for students,"Cognito,Lambda,IAM,DynamoDB,EC2",authentication_system
Create an event-driven system that handles webhooks,"Lambda,DynamoDB,IAM,S3",serverless
Create a RESTful API that handles updates and stores data in user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Create a Vue.js website that needs transaction history and global content delivery,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Deploy a landing page with payment processing,"S3,CloudFront,IAM",static_website
Build a microservices API for inventory management with user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Develop a medium API gateway for booking system,"API_Gateway,Lambda,IAM,DynamoDB",api_service
Host a simple static website for CRM,"S3,CloudFront,IAM",static_website
Build an analytics dashboard for website traffic,"S3,Lambda,RDS,IAM",analytics_platform
Build an analytics dashboard for IoT sensors,"S3,Lambda,RDS",analytics_platform
Create a reporting system for system performance,"S3,Lambda,RDS",analytics_platform
Create a live updates system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create a Vue.js website that needs product catalog and global content delivery,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build container orchestration platform,"ECS,VPC,IAM,RDS",web_application
Build a real-time social networking application,"API_Gateway,Lambda,DynamoDB,IAM,SNS",real_time_app
Build a file conversion service for PDF to text,"S3,Lambda,IAM,SQS",file_processing
Build a data pipeline to process videos and store in media storage,"Lambda,S3,IAM,SQS",data_processing
Build a RESTful API for social media with transaction history,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,Cognito",api_service
Create a Vue.js website that needs user data and fast page loads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build an analytics dashboard for sales data,"S3,Lambda,RDS,IAM",analytics_platform
